# 41220
# author_id;author_name
1159;Fabrizio Canfora
1160;Alberto Hauser
1161;András László
1162;Carroll L. Wainwright
1163;Reed Essick
1164;Marcin Bobieński
1165;Luke F. Roberts
1166;Moritz Huebner
1167;Robert D. Ferdman
1168;Francesco Stolzi
1169;H. Leschke
1170;A. Mohammadi
1171;Sumanta Chakraborty
1172;J. Fernando G. Barbero
1173;Mohamad Susli
1174;Alfredo Raya
1175;Niklas Beisert
1176;Chunyu Lu
1177;J. Antoniadis
1178;Pedro Bargueno
1179;L. J. Hughes
1180;A. Pelster
1181;Jinye Yang
1182;Patricio Vielva
1183;William Throwe
1184;Utpal Sarkar
1185;Nicos Pelavas
1186;Peter J. Brown
1187;Tanner Prestegard
1188;Voja Radovanovic
1189;Kristin Schleich
1190;Robert Crittenden
1191;A. Estepanian
1192;Felipe A. M. G. Nogueira
1193;Maria Alessandra Papa
1194;Ewald J. H. Wessels
1195;Geoffrey Ryan
1196;A. Bendjoudi
1197;Cristian Martinez
1198;Francisco Antonio Horta-Rangel
